item_code,category_code
RM00001,SEA
RM00002,SEA
RM00003,SEA
RM00004,SEA
RM00005,SEA
RM00006,SEA
RM00007,SEA
RM00008,SEA
RM00009,SEA
RM00010,SEA
RM00011,SEA
RM00012,SEA
RM00013,SEA
RM00014,PANTRY
RM00015,PANTRY
RM00016,PANTRY
RM00017,PANTRY
RM00018,PANTRY
RM00019,SEA
RM00020,SEA
RM00021,SEA
RM00022,SEA
RM00023,SEA
RM00024,SEA
RM00025,SEA
RM00026,SEA
RM00027,SEA
RM00028,SEA
RM00029,SEA
RM00030,SEA
RM00031,SEA
RM00032,SEA
RM00033,SEA
RM00034,SEA
RM00035,SEA
RM00036,SEA
RM00037,SEA
RM00038,SEA
RM00039,SEA
RM00040,SEA
RM00041,SEA
RM00042,SEA
RM00043,PANTRY
RM00044,PANTRY
RM00045,PANTRY
RM00046,PANTRY
RM00047,PANTRY
RM00048,PANTRY
RM00049,PANTRY
RM00050,PANTRY
RM00051,PANTRY
RM00052,PANTRY
RM00053,PANTRY
RM00054,PANTRY
RM00055,PANTRY
RM00056,PANTRY
RM00057,PANTRY
RM00058,SEA
RM00059,PANTRY
RM00060,PANTRY
RM00061,PANTRY
RM00062,PANTRY
RM00063,PANTRY
RM00064,PANTRY
RM00065,PROD
RM00066,PROT
RM00067,PROT
RM00068,PROT
RM00069,PANTRY
RM00070,PROT
RM00071,PROT
RM00072,PROT
RM00073,PROD
RM00074,PROD
RM00075,PROD
RM00076,PROD
RM00077,PROD
RM00078,PROD
RM00079,PROD
RM00080,PROD
RM00081,PROD
RM00082,PROD
RM00083,BEV
RM00084,PROD
RM00085,PROT
RM00086,PROT
RM00087,PROT
RM00088,PROT
RM00089,PROT
RM00090,PROT
RM00091,PROT
RM00092,PROT
RM00093,PROT
RM00094,PROT
RM00095,PROT
RM00096,PROT
RM00097,PROT
RM00098,PROT
RM00099,PROT
RM00100,PROT
RM00101,PROT
RM00102,PROT
RM00103,PANTRY
RM00104,PANTRY
RM00105,PANTRY
RM00106,PANTRY
RM00107,PANTRY
RM00108,PANTRY
RM00109,PANTRY
RM00110,PANTRY
RM00111,PANTRY
RM00112,PANTRY
RM00113,SEA
RM00114,SEA
RM00115,SEA
RM00116,SEA
RM00117,SEA
RM00118,SEA
RM00119,SEA
RM00120,SEA
RM00121,SEA
RM00122,SEA
RM00123,PANTRY
RM00124,PANTRY
RM00125,PANTRY
RM00126,PANTRY
RM00127,PANTRY
RM00128,PANTRY
RM00129,PROD
RM00130,PROT
RM00131,PROD
RM00132,PROD
RM00133,PROD
RM00134,PROD
RM00135,PROD
RM00136,PROD
RM00137,PROD
RM00138,PROD
RM00139,PROD
RM00140,PROD
RM00141,PROD
RM00142,PROD
RM00143,PROD
RM00144,PROD
RM00145,PROD
RM00146,PROD
RM00147,PROD
RM00148,PROD
RM00149,PROD
RM00150,PROD
RM00151,PROD
RM00152,PROD
RM00153,PROD
RM00154,PROD
RM00155,PROD
RM00156,PROD
RM00157,PROD
RM00158,PROT
RM00159,PANTRY
RM00160,PROD
RM00161,PROT
RM00162,PROT
RM00163,BEV
RM00164,BEV
RM00165,BEV
RM00166,BEV
RM00167,BEV
RM00168,BEV
RM00169,BEV
RM00170,BEV
RM00171,BEV
RM00172,PROT
RM00173,PROT
RM00174,BEV
RM00175,BEV
RM00176,PANTRY
RM00177,SEA
RM00178,PROD
